orf_id,orf_start,orf_end,mean,sum,std,n_reads_orf_vs_transcript,pos_1_vs_0,pos_2_vs_0,frames_1_vs_0,frames_2_vs_0,five_utr_vs_cds_mean,five_utr_vs_cds_max,five_utr_vs_start_codon_mean,five_utr_vs_start_codon_max,cds_utr_vs_start_codon_mean,cds_utr_vs_start_codon_max,three_utr_vs_cds_mean,three_utr_vs_cds_max,three_utr_vs_stop_codon_mean,three_utr_vs_stop_codon_max,cds_utr_vs_stop_codon_mean,cds_utr_vs_stop_codon_max,dist_neg_100,dist_neg_150,dist_pos_100,dist_pos_150,price,ribotish,ribocode,prediction
GL000251.2_2223675_2224258_-_2223675-2223936|2224048-2224258,2223675.0,2224258.0,0.1490361782929478,70.19603997597844,0.4473853757798066,0.9942012036042358,9.92,9.944000001534809,0.18620721067679094,0.22326160507246476,2.8255897700873844,2.7889345734015523,2.1598819465029275,2.0689345734015525,0.15562439761593982,-0.19859690049756248,2.0904336164822372,1.866322508483275,0.5649517868370747,0.010350455441455932,-0.8185366673333847,-1.3043848980989108,-1.3513949502915692,-1.3656201602946383,-0.879213744345601,-1.1303496508090383,160.3181674792378,0.0,17.11432467689707,1
GL000251.2_2364384_2364853_+_2364384-2364479|2364750-2364853,2364384.0,2364853.0,0.0045635010482686506,0.9035732075572014,0.02077819099608055,1.0,0.5,0.0,1.0349650193853022,0.3496503470593629,1.6772371574454736,1.6505149978319906,2.0513311709485738,1.6505149978319906,1.127636252551653,0.3010299956639812,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-0.8890756251918218,-1.7781512503836436,-0.2385606273598312,-0.4771212547196624,0.0,0.0,1.5128941211901488,1
GL000252.2_1999786_2000369_-_1999786-2000047|2000159-2000369,1999786.0,2000369.0,0.14903702620468287,70.19643934240565,0.4474162611816329,0.994201202861685,9.92,9.944000001534809,0.1862150389260675,0.2232486810393931,2.8255897700873844,2.7889345734015523,2.1598819465029275,2.0689345734015525,0.15564659804877293,-0.1985131769582663,2.0904336164822372,1.866322508483275,0.5649517868370747,0.010350455441455932,-0.8185366673333847,-1.3043848980989108,-1.3513949502915692,-1.3656201602946383,-0.879213744345601,-1.1303496508090383,160.3181674792378,0.0,17.11432467689707,1
GL000252.2_2140909_2141378_+_2140909-2141004|2141275-2141378,2140909.0,2141378.0,0.0045635010482686506,0.9035732075572014,0.02077819099608055,1.0,0.5,0.0,1.0349650193853022,0.3496503470593629,1.6772371574454736,1.6505149978319906,2.0513311709485738,1.6505149978319906,1.127636252551653,0.3010299956639812,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-0.8890756251918218,-1.7781512503836436,-0.2385606273598312,-0.4771212547196624,0.0,0.0,1.5128941211901488,1
GL000253.2_2054186_2054769_-_2054186-2054447|2054559-2054769,2054186.0,2054769.0,0.14904661226520932,70.2009543769136,0.4474197009489518,0.9942012084730674,9.92,9.944000001534809,0.18622783890135328,0.22326830543419032,2.8255897700873844,2.7889345734015523,2.1598819465029275,2.0689345734015525,0.15562439761593982,-0.1985131769582663,2.0904336164822372,1.866322508483275,0.5649517868370747,0.010350455441455932,-0.8185366673333847,-1.3043848980989108,-1.3513949502915692,-1.3656201602946383,-0.879213744345601,-1.1303496508090383,160.3181674792378,0.0,17.11432467689707,1
GL000253.2_2194857_2195326_+_2194857-2194952|2195223-2195326,2194857.0,2195326.0,0.0045635010482686506,0.9035732075572014,0.02077819099608055,1.0,0.5,0.0,1.0349650193853022,0.3496503470593629,1.6772371574454736,1.6505149978319906,2.0513311709485738,1.6505149978319906,1.127636252551653,0.3010299956639812,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-0.8890756251918218,-1.7781512503836436,-0.2385606273598312,-0.4771212547196624,0.0,0.0,1.5128941211901488,1
GL000254.2_2228764_2229233_+_2228764-2228859|2229130-2229233,2228764.0,2229233.0,0.0045635010482686506,0.9035732075572014,0.02077819099608055,1.0,0.5,0.0,1.0349650193853022,0.3496503470593629,1.6772371574454736,1.6505149978319906,2.0513311709485738,1.6505149978319906,1.127636252551653,0.3010299956639812,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-0.8890756251918218,-1.7781512503836436,-0.2385606273598312,-0.4771212547196624,0.0,0.0,1.5128941211901488,1
GL000255.2_1999045_1999628_-_1999045-1999306|1999418-1999628,1999045.0,1999628.0,0.14903711711722886,70.19648216221482,0.4474124351892944,0.9942012673120658,9.92,9.944000001534809,0.18620018605679953,0.22324666742399277,2.8255897700873844,2.7889345734015523,2.1598819465029275,2.0689345734015525,0.15562439761593982,-0.19859690049756248,2.0904336164822372,1.866322508483275,0.5649517868370747,0.010350455441455932,-0.8185366673333847,-1.3043848980989108,-1.3513949502915692,-1.3656201602946383,-0.879213744345601,-1.1303496508090383,160.3181674792378,0.0,17.11432467689707,1
GL000255.2_2139783_2140252_+_2139783-2139878|2140149-2140252,2139783.0,2140252.0,0.0045635010482686506,0.9035732075572014,0.02077819099608055,1.0,0.5,0.0,1.0349650193853022,0.3496503470593629,1.6772371574454736,1.6505149978319906,2.0513311709485738,1.6505149978319906,1.127636252551653,0.3010299956639812,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-0.8890756251918218,-1.7781512503836436,-0.2385606273598312,-0.4771212547196624,0.0,0.0,1.5128941211901488,1
GL000256.2_2044731_2045314_-_2044731-2044992|2045104-2045314,2044731.0,2045314.0,0.1490368289963249,70.19634645726904,0.44740719819456753,0.9942011402467539,9.92,9.944000001534809,0.186218504867592,0.2232313962596572,2.8255828833555183,2.7889345734015523,2.1598819465029275,2.0689345734015525,0.15565881020589592,-0.1985131769582663,2.0904336164822372,1.866322508483275,0.5649517868370747,0.010350455441455932,-0.8185366673333847,-1.3043848980989108,-1.3513949502915692,-1.3656201602946383,-0.879213744345601,-1.1303496508090383,160.3181674792378,0.0,17.11432467689707,1
GL000257.2_43490_43598_-_43490-43598,43490.0,43598.0,0.013765196281450733,1.4866411983966827,0.06275245951454529,1.0,0.0128205125824445,0.03846153877896286,0.33841099124183677,0.8557347621001279,1.3307499528284812,1.2006866637759874,1.7521590687472255,1.2006866637759874,1.1437879199302285,0.7993133362240125,0.08397491220374113,-0.061193074101497456,-0.6015255705879762,-1.397708192203484,-0.683518792875419,-1.3952121965488073,0.0,0.0,0.0,0.0,0.0,0.0,2.2225636119397407,1
GL339449.2_135253_152686_-_135253-135446|138842-138988|139088-139147|149697-149790|152658-152686,135253.0,152686.0,0.03813855714914043,19.79391116040391,0.11998432376991262,0.4825385261269281,9.66049382931309,9.654320987654321,0.32710932188502645,0.30968751286368607,2.6135428492589488,2.5300909107910714,2.4977717756573163,2.286618842892537,0.008168982928392615,-0.35322806393036876,2.033285893623535,1.7999967655813176,1.7045516767384494,0.9692644121078415,0.2925541979300373,-0.3348276406739153,-1.3138814146495614,-1.4817927086530365,-0.8251216675555976,-0.9881174237010355,49.78229357092316,0.0,11.700016102484273,1
